permalink,api_path,web_path,api_url,first_name,last_name,gender,title,organization_permalink,organization_api_path,organization_web_path,organization_name,profile_image_url,homepage_url,facebook_url,twitter_url,linkedin_url,city_name,region_name,country_code,created_at,updated_at
geoff-stapleton,people/geoff-stapleton,person/geoff-stapleton,https://api.crunchbase.com/v3.1/people/geoff-stapleton,Geoff,Stapleton,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/yqla5isdwlboqel3npph,,,,https://www.linkedin.com/in/geoff-stapleton-44641428/,,,,1598876193,1598876193
nishit-dayal-9c20,people/nishit-dayal-9c20,person/nishit-dayal-9c20,https://api.crunchbase.com/v3.1/people/nishit-dayal-9c20,Nishit,Dayal,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/wavlleei0gqxmvy7x1vp,,,,https://www.linkedin.com/in/nishit-dayal-5a5a0214/,,,,1598876074,1598876074
laurent-burdin,people/laurent-burdin,person/laurent-burdin,https://api.crunchbase.com/v3.1/people/laurent-burdin,Laurent,Burdin,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/zukfkntqdebivcs9tlb3,,,,https://www.linkedin.com/in/burdin/?originalSubdomain=de,Hamburg,Hamburg,Germany,1598875840,1598875840
bhavesh-prataprai-gandhi,people/bhavesh-prataprai-gandhi,person/bhavesh-prataprai-gandhi,https://api.crunchbase.com/v3.1/people/bhavesh-prataprai-gandhi,Bhavesh,Prataprai Gandhi,Male,,,organizations/,organization/,,,,,,,,,,1598875716,1598875716
nikhil-prataprai-gandhi,people/nikhil-prataprai-gandhi,person/nikhil-prataprai-gandhi,https://api.crunchbase.com/v3.1/people/nikhil-prataprai-gandhi,Nikhil,Prataprai Gandhi,Male,,,organizations/,organization/,,,,,,,,,,1598875716,1598875716
matan-hazanov,people/matan-hazanov,person/matan-hazanov,https://api.crunchbase.com/v3.1/people/matan-hazanov,Matan,Hazanov,,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/j295xnhaprepzyikamyl,,,,https://www.linkedin.com/in/matan-hazanov-a9755416/?originalSubdomain=ca,,,Canada,1598875484,1598875484
diogo-capela,people/diogo-capela,person/diogo-capela,https://api.crunchbase.com/v3.1/people/diogo-capela,Diogo,Capela,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/lnk2qfnerjsizjkgssl2,https://diogocapela.com,https://facebook.com/diogocapela,https://twitter.com/diogocapela,https://linkedin.com/in/diogocapela,,,Portugal,1512171921,1598875470
marti-morenings,people/marti-morenings,person/marti-morenings,https://api.crunchbase.com/v3.1/people/marti-morenings,Marti,Morenings,Male,,,organizations/,organization/,,,,,,,,,,1598875454,1598875454
g-morenings,people/g-morenings,person/g-morenings,https://api.crunchbase.com/v3.1/people/g-morenings,G.,Morenings,Male,,,organizations/,organization/,,,,,,,,,,1598875454,1598875454
michael-ritter-658c,people/michael-ritter-658c,person/michael-ritter-658c,https://api.crunchbase.com/v3.1/people/michael-ritter-658c,Michael,Ritter,Male,,,organizations/,organization/,,,,,,,,,,1598875296,1598875296
faheem-mumtaz,people/faheem-mumtaz,person/faheem-mumtaz,https://api.crunchbase.com/v3.1/people/faheem-mumtaz,Faheem,Mumtaz,Male,,,organizations/,organization/,,,,,,https://www.linkedin.com/in/faheem-mumtaz-27bab8105/,,,,1598874905,1598874905
david-gal-d283,people/david-gal-d283,person/david-gal-d283,https://api.crunchbase.com/v3.1/people/david-gal-d283,David,Gal,Male,,,organizations/,organization/,,,,,,,,,,1598874401,1598874401
wu-yiling,people/wu-yiling,person/wu-yiling,https://api.crunchbase.com/v3.1/people/wu-yiling,Wu,Yiling,Male,,,organizations/,organization/,,,,,,,,,,1598874141,1598874141
joel-colombo,people/joel-colombo,person/joel-colombo,https://api.crunchbase.com/v3.1/people/joel-colombo,Joel,Colombo,Male,,,organizations/,organization/,,,,,,,,,,1598874121,1598874121
sivakarthikeyan-velayutham,people/sivakarthikeyan-velayutham,person/sivakarthikeyan-velayutham,https://api.crunchbase.com/v3.1/people/sivakarthikeyan-velayutham,Sivakarthikeyan,Velayutham,,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/lcvsms22fqnpvxtdpyww,,,,https://www.linkedin.com/in/sivakarthikeyanv/,Bengaluru,Karnataka,India,1598873911,1598873911
joe-mastrianni,people/joe-mastrianni,person/joe-mastrianni,https://api.crunchbase.com/v3.1/people/joe-mastrianni,Joe,Mastrianni,Male,,,organizations/,organization/,,,,,,https://www.linkedin.com/in/joe-mastrianni-38597515/,Saratoga Springs,New York,United States,1598873673,1598873673
richard-burrell-c4da,people/richard-burrell-c4da,person/richard-burrell-c4da,https://api.crunchbase.com/v3.1/people/richard-burrell-c4da,Richard,Burrell,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/lwdrc8dyrche9kbnfn10,,,,,,,,1598873667,1598873667
stefan-hantke,people/stefan-hantke,person/stefan-hantke,https://api.crunchbase.com/v3.1/people/stefan-hantke,Stefan,Hantke,,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/x0oi6rgg3rmi4gdv7ehm,,,,,,,,1598873638,1598873638
john-keenan-7cdc,people/john-keenan-7cdc,person/john-keenan-7cdc,https://api.crunchbase.com/v3.1/people/john-keenan-7cdc,John,Keenan,Male,,,organizations/,organization/,,,,,,,,,,1598873637,1598873637
anthony-lane,people/anthony-lane,person/anthony-lane,https://api.crunchbase.com/v3.1/people/anthony-lane,Anthony,Lane,Male,,,organizations/,organization/,,,,,,https://www.linkedin.com/in/anthony-lane-72306968/,,,,1598873473,1598873473
asif-hamid-mbe,people/asif-hamid-mbe,person/asif-hamid-mbe,https://api.crunchbase.com/v3.1/people/asif-hamid-mbe,Asif,Hamid MBE,Male,,,organizations/,organization/,,,,,,,,,,1598873463,1598873463
jeremy-fish,people/jeremy-fish,person/jeremy-fish,https://api.crunchbase.com/v3.1/people/jeremy-fish,Jeremy,Fish,Male,,,organizations/,organization/,,,,,,,,,,1598873441,1598873441
harry-centella,people/harry-centella,person/harry-centella,https://api.crunchbase.com/v3.1/people/harry-centella,Harry,Centella,Male,,,organizations/,organization/,,,,,,,,,,1598873373,1598873373
eugene-tan,people/eugene-tan,person/eugene-tan,https://api.crunchbase.com/v3.1/people/eugene-tan,Eugene,Tan,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/radwj4tnhcbucrmq91dm,,,,https://www.linkedin.com/in/eugtan/,Selangor,Selangor,Malaysia,1598873340,1598873340
manish-srivastava,people/manish-srivastava,person/manish-srivastava,https://api.crunchbase.com/v3.1/people/manish-srivastava,Manish,Srivastava,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/frlblscjkcrfrh2llihv,,,,https://www.linkedin.com/in/manishsrivastava-immigrationexperts/,,,,1598873220,1598873305
david-gagne-e275,people/david-gagne-e275,person/david-gagne-e275,https://api.crunchbase.com/v3.1/people/david-gagne-e275,David,Gagne,Male,,,organizations/,organization/,,,,,,,,,,1598873276,1598873276
nick-wassink,people/nick-wassink,person/nick-wassink,https://api.crunchbase.com/v3.1/people/nick-wassink,Nick,Wassink,Male,,,organizations/,organization/,,,,,,https://www.linkedin.com/in/nickwassink/?trk=public_profile_browsemap_profile-result-card_result-card_full-click&originalSubdomain=uk,,,,1598873236,1598873236
inderbethal-singh-thakral,people/inderbethal-singh-thakral,person/inderbethal-singh-thakral,https://api.crunchbase.com/v3.1/people/inderbethal-singh-thakral,Inderbethal,Singh Thakral,,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/wcrqkf0loicc2qefq11l,,,,,,,,1598873228,1598873228
jan-hall-9ffe,people/jan-hall-9ffe,person/jan-hall-9ffe,https://api.crunchbase.com/v3.1/people/jan-hall-9ffe,Jan,Hall,Male,,,organizations/,organization/,,,,,,,,,,1598873219,1598873219
daniel-barrientos,people/daniel-barrientos,person/daniel-barrientos,https://api.crunchbase.com/v3.1/people/daniel-barrientos,Daniel,Barrientos,,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/nlps0lwmdttzqqnkmfia,,,,https://www.linkedin.com/in/daniel-barrientos-12172642/,Madrid,Madrid,Spain,1598873187,1598873187
scott-rector,people/scott-rector,person/scott-rector,https://api.crunchbase.com/v3.1/people/scott-rector,Scott,Rector,Male,,,organizations/,organization/,,,,,,,,,,1598873152,1598873152
sergio-de-lázaro,people/sergio-de-lázaro,person/sergio-de-lázaro,https://api.crunchbase.com/v3.1/people/sergio-de-lázaro,Sergio,De Lázaro,Male,,,organizations/,organization/,,,,,,,,,,1598873136,1598873136
stefan-mirea,people/stefan-mirea,person/stefan-mirea,https://api.crunchbase.com/v3.1/people/stefan-mirea,Stefan,Mirea,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/sb3e0jbpkpqqree8yrx9,https://pinto.co/,,,https://www.linkedin.com/in/stefanmirea/,New York,New York,United States,1598873038,1598873038
oren-shuster,people/oren-shuster,person/oren-shuster,https://api.crunchbase.com/v3.1/people/oren-shuster,Oren,Shuster,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/vjtediwwccm8b697lwra,,,,https://www.linkedin.com/in/oren-shuster-691182/,Glil Yam,Tel Aviv,Israel,1598872961,1598872961
patrick-embry-e6c3,people/patrick-embry-e6c3,person/patrick-embry-e6c3,https://api.crunchbase.com/v3.1/people/patrick-embry-e6c3,Patrick,Embry,Male,,,organizations/,organization/,,,,,,https://www.linkedin.com/in/patrick-embry-83179820/,,,,1598872961,1598872961
rafi-gabay,people/rafi-gabay,person/rafi-gabay,https://api.crunchbase.com/v3.1/people/rafi-gabay,Rafi,Gabay,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/oubzg4zw149tataebups,,,,https://www.linkedin.com/in/rafi-gabay-3835922a/,,,Israel,1598872961,1598872961
mike-keeling,people/mike-keeling,person/mike-keeling,https://api.crunchbase.com/v3.1/people/mike-keeling,Mike,Keeling,Male,,,organizations/,organization/,,,,,,,,,,1598872944,1598872944
hillar-weinberg,people/hillar-weinberg,person/hillar-weinberg,https://api.crunchbase.com/v3.1/people/hillar-weinberg,Hillar,Weinberg,Male,,,organizations/,organization/,,,,,,,,,,1598872944,1598872944
graham-geldenhuys,people/graham-geldenhuys,person/graham-geldenhuys,https://api.crunchbase.com/v3.1/people/graham-geldenhuys,Graham,Geldenhuys,,,,organizations/,organization/,,,,,,https://www.linkedin.com/in/grahamgeldenhuys/,,,,1598872938,1598872938
keith-coursin,people/keith-coursin,person/keith-coursin,https://api.crunchbase.com/v3.1/people/keith-coursin,Keith,Coursin,Male,,,organizations/,organization/,,,,,,https://www.linkedin.com/in/keith-coursin-6b79156/,,,,1598872857,1598872857
frank-zinghini-0c81,people/frank-zinghini-0c81,person/frank-zinghini-0c81,https://api.crunchbase.com/v3.1/people/frank-zinghini-0c81,Frank,Zinghini,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/j1h4afhqkwlqxzas5vw0,,,,https://www.linkedin.com/in/frankzinghini/,Centerport,New York,United States,1598872770,1598872770
alan-tan-39ac,people/alan-tan-39ac,person/alan-tan-39ac,https://api.crunchbase.com/v3.1/people/alan-tan-39ac,Alan,Tan,Male,,,organizations/,organization/,,,,,,,,,,1598872756,1598872756
michael-brown-a877,people/michael-brown-a877,person/michael-brown-a877,https://api.crunchbase.com/v3.1/people/michael-brown-a877,Michael,Brown,Male,,,organizations/,organization/,,,,,,,,,,1598872312,1598872615
ernesto-cambursano,people/ernesto-cambursano,person/ernesto-cambursano,https://api.crunchbase.com/v3.1/people/ernesto-cambursano,Ernesto,Cambursano,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/rnfymig0cqrvnjvawcby,,,,,,,,1598872599,1598872599
adalberto-vianna,people/adalberto-vianna,person/adalberto-vianna,https://api.crunchbase.com/v3.1/people/adalberto-vianna,Adalberto,Vianna,Male,,,organizations/,organization/,,,,,,https://www.linkedin.com/in/adalberto-vianna-1398631b/,,,,1598872530,1598872530
ronald-widdows,people/ronald-widdows,person/ronald-widdows,https://api.crunchbase.com/v3.1/people/ronald-widdows,Ronald,Widdows,Male,,,organizations/,organization/,,,,,,,,,,1598872464,1598872464
scott-spiro,people/scott-spiro,person/scott-spiro,https://api.crunchbase.com/v3.1/people/scott-spiro,Scott,Spiro,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/p4sczyvewakqlhytqbnh,,,,https://www.linkedin.com/in/scottspiro/,Los Angeles,California,United States,1598872442,1598872442
jukka-peltola,people/jukka-peltola,person/jukka-peltola,https://api.crunchbase.com/v3.1/people/jukka-peltola,Jukka,Peltola,Male,,,organizations/,organization/,,,,,,,,,,1598872404,1598872404
marcel-fleuren,people/marcel-fleuren,person/marcel-fleuren,https://api.crunchbase.com/v3.1/people/marcel-fleuren,Marcel,Fleuren,Male,,,organizations/,organization/,,,,,,,,,,1598872240,1598872240
hasan-nawaz,people/hasan-nawaz,person/hasan-nawaz,https://api.crunchbase.com/v3.1/people/hasan-nawaz,Hasan,Nawaz,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/emuvmvpxyizimvdvm64y,https://www.hubuc.com,,https://twitter.com/MrHasanNawaz,https://www.linkedin.com/in/hasannawaz/,Barcelona,Catalonia,Spain,1562238549,1598872235
thomas-w-perry,people/thomas-w-perry,person/thomas-w-perry,https://api.crunchbase.com/v3.1/people/thomas-w-perry,Thomas,W. Perry,Male,,,organizations/,organization/,,,,,,,,,,1598872185,1598872185
marcus-cuthbert,people/marcus-cuthbert,person/marcus-cuthbert,https://api.crunchbase.com/v3.1/people/marcus-cuthbert,Marcus,Cuthbert,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/vwlhzjni0izkx6lmronm,,,,https://www.linkedin.com/in/marcuscuthbert/?originalSubdomain=uk,Northampton,Northamptonshire,United Kingdom,1598872165,1598872165
john-webster-5586,people/john-webster-5586,person/john-webster-5586,https://api.crunchbase.com/v3.1/people/john-webster-5586,John,Webster,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/zzf6eowcsfkk6yorlci0,,,,https://www.linkedin.com/in/john-webster-5919a29/,London,England,United Kingdom,1598872152,1598872152
peter-carmine-picknelly,people/peter-carmine-picknelly,person/peter-carmine-picknelly,https://api.crunchbase.com/v3.1/people/peter-carmine-picknelly,Peter Carmine,Picknelly,Male,,,organizations/,organization/,,,,,,,,,,1598872006,1598872006
benjamin-cohen-cohen,people/benjamin-cohen-cohen,person/benjamin-cohen-cohen,https://api.crunchbase.com/v3.1/people/benjamin-cohen-cohen,Benjamin,Cohen,,,,organizations/,organization/,,,,,,https://www.linkedin.com/in/benjamin-cohen-1792012/?originalSubdomain=fr,Paris,Ile-de-France,France,1598871787,1598871930
lou-dell-ermo,people/lou-dell-ermo,person/lou-dell-ermo,https://api.crunchbase.com/v3.1/people/lou-dell-ermo,Lou,Dell'Ermo,Male,,,organizations/,organization/,,,,,,,,,,1598871894,1598871894
patrick-ward-6582,people/patrick-ward-6582,person/patrick-ward-6582,https://api.crunchbase.com/v3.1/people/patrick-ward-6582,Patrick,Ward,Male,,,organizations/,organization/,,,,,,,,,,1598871829,1598871829
don-garrett,people/don-garrett,person/don-garrett,https://api.crunchbase.com/v3.1/people/don-garrett,Don,Garrett,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/ii5xkkxegnb8900pjdzd,,,,https://www.linkedin.com/in/garrettdon/,Pittsburgh,Pennsylvania,United States,1598871749,1598871749
bill-peters-a473,people/bill-peters-a473,person/bill-peters-a473,https://api.crunchbase.com/v3.1/people/bill-peters-a473,Bill,Peters,Male,,,organizations/,organization/,,,,,,,,,,1598871749,1598871749
julie-betts,people/julie-betts,person/julie-betts,https://api.crunchbase.com/v3.1/people/julie-betts,Julie,Betts,Female,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/dqf77v3clm4eb63util4,,,,,San Francisco,California,United States,1598865902,1598865902
nishith-shah-84f7,people/nishith-shah-84f7,person/nishith-shah-84f7,https://api.crunchbase.com/v3.1/people/nishith-shah-84f7,Nishith,Shah,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/cbvc2fuvat5sbi4l6mlb,,,,https://www.linkedin.com/in/nishithshah5/,,,,1598865902,1598865902
atul-kumar-gupta,people/atul-kumar-gupta,person/atul-kumar-gupta,https://api.crunchbase.com/v3.1/people/atul-kumar-gupta,Atul,Kumar Gupta,Male,,,organizations/,organization/,,,,,,,,,,1598865830,1598865830
louis-weiss,people/louis-weiss,person/louis-weiss,https://api.crunchbase.com/v3.1/people/louis-weiss,Louis,Weiss,Male,,,organizations/,organization/,,,,,,,,,,1598865816,1598865816
rose-weiss,people/rose-weiss,person/rose-weiss,https://api.crunchbase.com/v3.1/people/rose-weiss,Rose,Weiss,Female,,,organizations/,organization/,,,,,,,,,,1598865816,1598865816
dmitry-fomichev,people/dmitry-fomichev,person/dmitry-fomichev,https://api.crunchbase.com/v3.1/people/dmitry-fomichev,Dmitry,Fomichev,Male,"Owner, CEO & Co-Founder",t3leads,organizations/t3leads,organization/t3leads,t3leads,http://public.crunchbase.com/t_api_images/fed1o48jwjultkqzlpnx,,,,https://www.linkedin.com/in/dmitry-fomichev-3984b713/,Greater Los Angeles Area,California,United States,1243241866,1598865760
vicki-tambellini,people/vicki-tambellini,person/vicki-tambellini,https://api.crunchbase.com/v3.1/people/vicki-tambellini,Vicki,Tambellini,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/g8nrjkbrulxslblfjo3e,,,,https://www.linkedin.com/in/vickitambellini/,Irvington,New York,United States,1598865545,1598865545
rizwan-sheikh,people/rizwan-sheikh,person/rizwan-sheikh,https://api.crunchbase.com/v3.1/people/rizwan-sheikh,Rizwan,Sheikh,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/nios1xjfx9prmmbjslqq,,,,https://www.linkedin.com/in/rsheikh/,Dallas/Fort Worth Metroplex,Texas,United States,1598865353,1598865353
r-c-nueske,people/r-c-nueske,person/r-c-nueske,https://api.crunchbase.com/v3.1/people/r-c-nueske,R. C.,Nueske,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/uh6k9d2bdgp9quxx9ooj,,,,,,,,1598865291,1598865291
dave-eggers-31bd,people/dave-eggers-31bd,person/dave-eggers-31bd,https://api.crunchbase.com/v3.1/people/dave-eggers-31bd,Dave,Eggers,Male,,,organizations/,organization/,,,,,,,,,,1598865278,1598865278
yaron-sinai,people/yaron-sinai,person/yaron-sinai,https://api.crunchbase.com/v3.1/people/yaron-sinai,Yaron,Sinai,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/yr5norfmmxmjfwmv3w1f,,,,https://www.linkedin.com/in/yaron-sinai-48656a9a/,,,,1598865240,1598865240
ganesh-jivani,people/ganesh-jivani,person/ganesh-jivani,https://api.crunchbase.com/v3.1/people/ganesh-jivani,Ganesh,Jivani,Male,,,organizations/,organization/,,,,,,https://www.linkedin.com/in/ganesh-jivani/?originalSubdomain=in,Vadodara,Gujarat,India,1598865197,1598865197
alexander-kochetkov,people/alexander-kochetkov,person/alexander-kochetkov,https://api.crunchbase.com/v3.1/people/alexander-kochetkov,Alexander,Kochetkov,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/idhhemjrro18sdobt60c,,,,,Vilnius,Vilniaus Apskritis,Lithuania,1598864247,1598865171
